SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NORTH INTERIOR KARNATAKA,1903,3.5,0,0.1,6.9,53.4,102.8,209.4,146.4,189.3,166.4,34.3,16,928.5,3.5,60.3,647.9,216.8
NORTH INTERIOR KARNATAKA,1904,0.2,0.3,8.5,11,46.3,120.6,91.6,48.5,165.1,86.5,0,0,578.6,0.5,65.8,425.8,86.5
NORTH INTERIOR KARNATAKA,1905,0,6,2.6,16,51.2,99.6,60.1,139.2,42.2,85,4.4,0,506.2,6,69.8,341.1,89.4
NORTH INTERIOR KARNATAKA,1906,21.3,0,0.2,2.6,30,142,120.3,182.1,116,86.2,24.3,58.9,783.8,21.3,32.7,560.4,169.4
NORTH INTERIOR KARNATAKA,1907,1.1,0,12.1,96.9,5.6,90.6,155.1,185.2,165.8,10.3,17.9,6.1,746.7,1.1,114.6,596.7,34.3
NORTH INTERIOR KARNATAKA,1908,1.3,0.3,2.4,16,20.7,62.6,154.9,86.1,232.7,16.9,1.1,0.1,595.1,1.6,39.1,536.4,18
NORTH INTERIOR KARNATAKA,1909,2.4,0.1,10.1,11.8,55.3,110.3,140.4,175.6,106.2,50,12,1.6,675.8,2.5,77.1,532.5,63.6
NORTH INTERIOR KARNATAKA,1910,0,0,4.5,2.5,28.2,78.2,127.9,195.5,186.3,104.1,32.3,0,759.4,0,35.2,587.9,136.4
NORTH INTERIOR KARNATAKA,1911,0,0,5.1,3.1,43.2,87.6,151.5,71.6,67.4,61.4,8.8,10.3,510,0,51.4,378.1,80.6
NORTH INTERIOR KARNATAKA,1912,0,12.5,0,42.6,38.2,43.7,226.2,158,104.4,104.9,28.3,0,758.7,12.5,80.8,532.3,133.1
NORTH INTERIOR KARNATAKA,1913,0,0.9,0,16.3,76.7,104,150.9,45,89.3,85.4,2.5,1.3,572.3,0.9,93,389.2,89.2
NORTH INTERIOR KARNATAKA,1914,0,0,0.6,19.5,34.2,74.4,220.9,237.1,152.1,24.9,43,18.2,824.8,0,54.2,684.5,86.1
NORTH INTERIOR KARNATAKA,1915,26.5,2.4,25.6,32.4,40.3,107.2,150.1,57.8,173.6,89.3,42.6,5.5,753.3,28.9,98.3,488.8,137.4
NORTH INTERIOR KARNATAKA,1916,0,1.2,0.2,22.7,60.1,97.4,234,82.4,190.8,197.3,201.8,0,1087.9,1.2,83,604.6,399.1
NORTH INTERIOR KARNATAKA,1917,0,21.1,22.7,11.7,20.2,117,77.8,164.2,192.6,137.2,59.4,0,823.8,21.1,54.6,551.6,196.6
NORTH INTERIOR KARNATAKA,1918,5.9,0.2,2.3,22.5,117.3,43.3,37,61.2,150.8,19.6,62.5,5.5,528,6.1,142,292.3,87.6
NORTH INTERIOR KARNATAKA,1919,10.6,0.3,0.1,13.2,64.7,124.2,72.7,41,228.5,84.3,85,2.5,727.1,10.8,78.1,466.3,171.9
NORTH INTERIOR KARNATAKA,1920,2.6,0,0,25.1,32.3,75.3,82.6,56.5,139.5,54.3,2.2,0,470.3,2.6,57.4,353.9,56.4
NORTH INTERIOR KARNATAKA,1921,0.2,0,1.2,33.6,5.4,63.5,158.2,41.7,49.4,125.3,104.5,0,582.8,0.2,40.2,312.7,229.7
NORTH INTERIOR KARNATAKA,1922,24.5,1.5,0.2,30.2,40.4,70.7,108.1,40.4,35.9,64.9,92.1,0,509,26,70.8,255.1,157
NORTH INTERIOR KARNATAKA,1923,0.2,13.2,32.9,21.4,28.2,38.2,229.4,64.4,163.1,9.4,0,2.3,602.8,13.4,82.5,495.1,11.8
NORTH INTERIOR KARNATAKA,1924,5.1,0,6,42,22,68.3,120.4,117.9,155.1,37.9,13.4,3.1,591.2,5.1,70,461.7,54.4
NORTH INTERIOR KARNATAKA,1925,0,0,7.3,34.3,79,74.1,113.7,77.5,108.7,118.7,16.6,12.9,642.6,0,120.6,373.9,148.1
NORTH INTERIOR KARNATAKA,1926,24.8,1,2.1,4.5,37.1,65.5,123,138.4,161.7,22.1,0.8,0,581,25.8,43.8,488.6,22.9
NORTH INTERIOR KARNATAKA,1927,0,1.4,4.4,9.3,34.4,123.9,161,54.3,184.7,24.7,82.7,0,680.8,1.4,48.2,523.9,107.3
NORTH INTERIOR KARNATAKA,1928,0.5,28.4,13.2,18.2,20.5,153.6,130.2,73.4,210.7,102.6,0.3,17,768.5,28.9,51.9,567.8,119.9
NORTH INTERIOR KARNATAKA,1929,2,24.9,2.7,49,37.8,105.6,67.4,33,167.2,91.3,16,1.2,598,26.9,89.5,373.2,108.5
NORTH INTERIOR KARNATAKA,1930,0,0.3,3.1,9.5,56.2,94.1,61,61.1,189.4,130.8,22.8,4.3,632.7,0.3,68.9,405.6,157.9
NORTH INTERIOR KARNATAKA,1931,0,0.1,4.5,30.6,33.1,114.1,134.9,70.1,195.1,51.7,65.6,19.4,719.2,0.1,68.2,514.2,136.7
NORTH INTERIOR KARNATAKA,1932,0,1.9,0.6,24.8,46.5,49.9,165.3,160.4,113.9,146.8,98.5,0.1,808.8,1.9,71.9,489.5,245.4
NORTH INTERIOR KARNATAKA,1933,0.1,2.8,13.6,50.1,84.1,113.2,131.6,158.9,149.4,160.7,52.3,30.4,947.3,3,147.8,553.2,243.4
NORTH INTERIOR KARNATAKA,1934,1.2,0,0.3,29.5,9.9,70.8,212.3,98.9,67.5,58.9,41.8,0,591.2,1.2,39.7,449.5,100.7
NORTH INTERIOR KARNATAKA,1935,13.9,0.4,0.1,30.1,13.1,120.8,106.8,204.3,80.5,131.7,11.5,1.7,714.9,14.3,43.3,512.4,144.9
NORTH INTERIOR KARNATAKA,1936,0,18.4,5.9,13.3,50.4,101.5,62.7,59.5,136.4,50.8,62.7,3,564.7,18.4,69.6,360.1,116.6
NORTH INTERIOR KARNATAKA,1937,0,14,12.8,63.4,16.4,54.4,124.8,36.6,109.6,113.5,0,6.9,552.4,14,92.5,325.4,120.5
NORTH INTERIOR KARNATAKA,1938,0,4.9,43.4,15.6,45.6,119,142.1,190.4,200.9,44.2,8,1,815.1,4.9,104.6,652.4,53.2
NORTH INTERIOR KARNATAKA,1939,0,0,5.5,11.1,12.9,87.9,113.2,157.8,115.8,122.1,27.6,0,653.9,0,29.5,474.7,149.7
NORTH INTERIOR KARNATAKA,1940,2,0,0.1,31,64.5,122.7,118.3,138,111.9,115.2,18.6,14.4,736.8,2,95.6,491,148.2
NORTH INTERIOR KARNATAKA,1941,10.7,3.9,7.2,11.2,24.9,64.7,106.3,80.3,164.6,52.5,0.3,9.1,535.7,14.6,43.3,415.8,61.9
NORTH INTERIOR KARNATAKA,1942,0,3.2,0.4,30.2,35.7,138.5,111.7,143.7,57.4,33.8,4.2,26.7,585.7,3.2,66.3,451.4,64.7
NORTH INTERIOR KARNATAKA,1943,6.7,0.8,3.1,31.6,117.8,115.6,128.8,71.8,200.9,174.1,28,0,879.2,7.5,152.4,517.2,202
NORTH INTERIOR KARNATAKA,1944,0,3.2,30.3,12.3,44.8,92.6,174.6,28,140.5,158.8,37.1,0,722.1,3.2,87.4,435.7,195.8
NORTH INTERIOR KARNATAKA,1945,0.3,0,0,11.2,21.3,69.7,191.9,95.7,92.8,57.6,3.5,0,544,0.3,32.5,450.1,61.1
NORTH INTERIOR KARNATAKA,1946,0,7.6,3.8,44.2,56.8,106.7,135,127.9,146.2,75.5,102,3.3,808.9,7.6,104.8,515.7,180.7
NORTH INTERIOR KARNATAKA,1947,8.6,6.7,11.1,13.9,29,102.9,175.5,217,161.3,38.4,13.4,8.6,786.3,15.2,54,656.7,60.3
NORTH INTERIOR KARNATAKA,1948,0.9,0,7.9,40.1,38.2,72.6,110.3,147.3,155.9,79,126.3,0.1,778.3,0.9,86.1,486,205.3
NORTH INTERIOR KARNATAKA,1949,0,1.5,6.4,15.2,72.9,82.5,114.1,100.5,265.4,94.1,10.7,0,763.3,1.5,94.5,562.6,104.8
NORTH INTERIOR KARNATAKA,1950,0,6.8,4,8.2,51.9,94.9,122.6,120.8,180.4,109.8,7,0,706.5,6.8,64,518.8,116.9
NORTH INTERIOR KARNATAKA,1951,0,0,4.5,17.3,63.8,117.6,179,64.8,149,101.2,10.4,0.8,708.4,0,85.6,510.4,112.4
NORTH INTERIOR KARNATAKA,1952,0,8,0.1,32.1,98.3,52.9,132,64.7,85.2,141.6,0,13.7,628.5,8,130.4,334.8,155.3
NORTH INTERIOR KARNATAKA,1953,0,0,0.1,38.9,5.8,127.8,192.4,91.6,186.2,248.3,0,0,891.2,0,44.8,598,248.4
NORTH INTERIOR KARNATAKA,1954,0,0,16.9,19.7,44.9,80.1,216.4,152.7,78.2,62.8,0.2,11.4,683.3,0,81.5,527.4,74.3
NORTH INTERIOR KARNATAKA,1955,0.1,0,10,30.7,92.4,128.7,140.7,223.3,197.2,132,12,0,967.1,0.1,133.1,690,143.9
NORTH INTERIOR KARNATAKA,1956,0,2.8,1.1,30.2,64,96.8,314.1,117.9,144.9,164.6,100.1,2.4,1039,2.8,95.3,673.7,267.1
NORTH INTERIOR KARNATAKA,1957,0,0.9,5.5,25.5,70,115.4,146.6,188.8,87.8,174.3,23.1,0,837.8,0.9,101,538.6,197.3
NORTH INTERIOR KARNATAKA,1958,2,0.2,7.3,46,100.3,55.2,174.8,179.7,71.2,83.7,31,0.5,752,2.2,153.6,480.9,115.3
NORTH INTERIOR KARNATAKA,1959,0.1,0,0.6,26.2,43.8,163.2,155.1,90.6,148.8,52.3,17.2,0.6,698.5,0.1,70.6,557.7,70.1
NORTH INTERIOR KARNATAKA,1960,0,0,14.9,17.2,79.6,86.8,96.4,29.4,313.9,32.9,20.4,0.1,691.6,0,111.6,526.5,53.4
NORTH INTERIOR KARNATAKA,1961,0.1,0.6,6.4,32.1,102.1,99.9,245.4,78.4,33.1,144.9,5.6,0,748.6,0.6,140.6,456.9,150.6
NORTH INTERIOR KARNATAKA,1962,0,5,2.9,58.8,52.5,82.1,140.1,144.7,165.7,99.3,25.4,62.4,839.1,5,114.3,532.6,187.2
NORTH INTERIOR KARNATAKA,1963,0,10.9,33.9,34.4,78.9,113.1,73.9,195.5,63,178.6,1,0,783.1,11,147.2,445.4,179.6
NORTH INTERIOR KARNATAKA,1964,0,0.8,4.3,16.9,14.6,97.6,211.7,129.2,289.1,110.8,22.4,2.4,899.8,0.8,35.8,727.6,135.6
NORTH INTERIOR KARNATAKA,1965,1.3,0,0.5,14,17.2,110.4,185.9,120,150.1,3.8,2.8,26.8,632.9,1.3,31.7,566.4,33.5
NORTH INTERIOR KARNATAKA,1966,13.4,0.3,5.5,10.6,82.9,68.9,145.5,80.7,160.6,54.8,92,8.4,723.6,13.7,98.9,455.8,155.2
NORTH INTERIOR KARNATAKA,1967,1.2,0,11.8,34.6,32.5,74.1,187.1,72.5,141.9,80,1.7,8.4,645.7,1.2,78.8,475.6,90.1
NORTH INTERIOR KARNATAKA,1968,1.9,15.8,2.7,41.2,32.2,92.4,162.3,47.6,202.5,98.5,29.9,0.3,727.3,17.7,76.1,504.8,128.7
NORTH INTERIOR KARNATAKA,1969,0,0,4.1,14.9,40.6,89.4,151.1,159.2,121.5,113.7,33.5,1.3,729.1,0,59.5,521.2,148.4
NORTH INTERIOR KARNATAKA,1970,0.4,0.2,1,31.5,76.5,80.7,131.5,199.9,173.2,95.7,0,0,790.8,0.6,109.1,585.3,95.7
NORTH INTERIOR KARNATAKA,1971,0.9,0,0.3,23.9,69.3,102.2,53.7,121,109,131.2,0.6,0,612.1,0.9,93.5,385.9,131.8
NORTH INTERIOR KARNATAKA,1972,0,2.4,1.3,19.5,45.9,79.4,100.8,40.7,126.3,47.2,34.4,1.4,499.4,2.4,66.8,347.3,83
NORTH INTERIOR KARNATAKA,1973,0,0,0.2,10.1,29.7,136.2,101.3,154,100.6,212.5,5.6,0.5,750.8,0,40,492.1,218.7
NORTH INTERIOR KARNATAKA,1974,0,0,5,23.9,83.9,93.3,98.9,92.2,242.5,176.9,0.5,0,817.3,0,112.8,527,177.5
NORTH INTERIOR KARNATAKA,1975,8.2,1.1,5.6,7.2,59.6,104.2,238.6,109.6,214.8,323.1,21.6,0.1,1093.7,9.3,72.5,667.2,344.8
NORTH INTERIOR KARNATAKA,1976,0,0,5.5,35.1,11.1,82.5,131.6,147.9,74.1,15.6,57.9,0.1,561.3,0,51.7,436.1,73.6
NORTH INTERIOR KARNATAKA,1977,0,1.2,10.7,34.8,75,170.3,144.4,135.9,70.5,134.2,72.3,0.6,849.9,1.2,120.4,521.2,207.1
NORTH INTERIOR KARNATAKA,1978,0.5,13.2,0.8,35.1,76.9,102,165.9,160.3,204.8,85.9,55.1,4.3,904.9,13.7,112.9,633,145.2
NORTH INTERIOR KARNATAKA,1979,2,13.1,2.4,7.3,60.7,141.7,125.4,168.8,291.4,54.5,95.8,0.1,963.2,15,70.5,727.3,150.4
NORTH INTERIOR KARNATAKA,1980,0.1,0,1.6,51.5,20.1,149.1,126,171.6,125.9,19.8,22.6,3.4,691.7,0.1,73.2,572.5,45.9
NORTH INTERIOR KARNATAKA,1981,6.2,0,10.3,12.1,39.6,160.8,127.5,151.9,284.3,68.3,16.1,0.1,877.3,6.2,62,724.6,84.5
NORTH INTERIOR KARNATAKA,1982,0.1,0,0.8,13.8,59.8,87.2,163.4,83.2,145.5,83.8,43.8,0,681.4,0.1,74.4,479.3,127.6
NORTH INTERIOR KARNATAKA,1983,0,0,0,0.2,24.5,167.4,135.1,169,198.1,66.5,8.3,8.7,777.9,0,24.8,669.7,83.5
NORTH INTERIOR KARNATAKA,1984,0.4,3.9,6.2,14.3,8,64.1,217.4,62.1,127.1,113.5,1.1,0.1,618.1,4.3,28.5,470.7,114.6
NORTH INTERIOR KARNATAKA,1985,2.9,0,6.8,20.8,34.1,86.6,109.7,67.7,75.8,94.7,1.4,0.6,501.2,2.9,61.8,339.8,96.8
NORTH INTERIOR KARNATAKA,1986,11,7.4,1.4,23.2,38.1,124.9,76.1,129,114.1,29.5,60.4,5.3,620.4,18.4,62.8,444.1,95.2
NORTH INTERIOR KARNATAKA,1987,0.4,0.9,0.5,2,44.9,124,83.1,166.6,109.3,119.7,68.9,26.8,747.4,1.4,47.5,483.1,215.5
NORTH INTERIOR KARNATAKA,1988,1.3,1.6,1.5,38.3,34.5,77.2,170.6,219.5,214.2,16.1,2,18.8,795.4,2.9,74.3,681.4,36.9
NORTH INTERIOR KARNATAKA,1989,0,0,21.6,10.7,28.5,102,199.6,64.1,203.3,23.3,8.9,14.1,676.2,0,60.8,569,46.3
NORTH INTERIOR KARNATAKA,1990,4.8,0,0.1,7.8,127.3,129.7,96.2,170,64.2,95.6,23.3,0,719,4.8,135.1,460.1,119
NORTH INTERIOR KARNATAKA,1991,0.2,0,1.3,47.3,59.8,235.7,155.6,94,67.6,49.6,8.9,0,720,0.2,108.4,552.9,58.5
NORTH INTERIOR KARNATAKA,1992,0,0,0,12.7,48.1,108,100,121,85.1,68,125.4,0,668.3,0,60.9,414.1,193.3
NORTH INTERIOR KARNATAKA,1993,0,0.1,6.5,11.4,37.6,69.3,134.9,128.1,94.8,201.9,10.8,36.4,731.8,0.1,55.5,427.1,249.1
NORTH INTERIOR KARNATAKA,1994,4.2,0.3,0.2,35.3,16.8,101.8,146,95.9,38.1,200.3,4.2,0,643,4.5,52.3,381.7,204.5
NORTH INTERIOR KARNATAKA,1995,28.3,0.1,5.4,11.8,33.1,75.5,140.9,95.9,104.3,148.9,18.2,0,662.3,28.4,50.3,416.5,167.1
NORTH INTERIOR KARNATAKA,1996,0,0,0.5,20.5,25.1,138.5,98.2,165.2,199.5,154.2,7.5,2.6,811.8,0,46.1,601.4,164.3
NORTH INTERIOR KARNATAKA,1997,4.3,0,14.8,22.6,17.5,213,272.8,290.1,76.9,85.3,64.6,33.8,1095.6,4.3,54.9,852.7,183.7
NORTH INTERIOR KARNATAKA,1998,0,0,0.4,6.1,32.7,107.8,140.4,155.4,223.1,172.7,13.9,0.1,852.5,0,39.2,626.7,186.6
NORTH INTERIOR KARNATAKA,1999,0,3.4,0.6,3.9,89,93.2,130.5,89.5,97.5,152.9,0.3,0,660.8,3.4,93.5,410.7,153.2
NORTH INTERIOR KARNATAKA,2000,0.4,2.6,0.1,8.4,49,107.5,127.1,164.6,134.4,115.1,2.8,0.5,712.4,3,57.4,533.6,118.3
NORTH INTERIOR KARNATAKA,2001,2.1,0,0.1,22.1,13.3,60.9,62.1,108.8,187.1,137.5,2.5,1.4,598,2.1,35.5,418.9,141.4
NORTH INTERIOR KARNATAKA,2002,3.8,7.9,0.3,14.7,40.6,108.2,54.7,118.2,52.2,126.4,3.4,0,530.5,11.7,55.6,333.4,129.9
NORTH INTERIOR KARNATAKA,2003,0.3,1.5,15.2,24.9,3.5,66.9,94.4,104,64.3,92.1,4.2,2.2,473.5,1.8,43.6,329.7,98.4
NORTH INTERIOR KARNATAKA,2004,2.6,2.7,1.6,29.9,93.8,106.1,111.7,92.8,134.6,61.6,4.3,0.2,641.9,5.3,125.3,445.2,66.1
NORTH INTERIOR KARNATAKA,2005,5.8,0.8,5.5,52.5,34.5,98.7,219.4,123.3,159.7,102.3,5,0.1,807.5,6.6,92.6,601,107.4
NORTH INTERIOR KARNATAKA,2006,0,0,16.8,12.1,79,130.2,113.9,89.1,136.8,43.6,29,0,650.6,0,107.9,470,72.6
NORTH INTERIOR KARNATAKA,2007,11.7,6.8,7.7,27,38.9,215.5,117.2,143.4,205.4,40.5,13.5,9.2,836.9,18.5,73.7,681.5,63.2
NORTH INTERIOR KARNATAKA,2008,0.4,9.2,109.2,22.8,29.2,71.6,80.6,147.7,152.5,54.1,29.8,5.3,712.4,9.6,161.3,452.3,89.2
NORTH INTERIOR KARNATAKA,2009,0.3,0,9.9,17.4,63.1,112,134.9,135.4,215.6,168.6,42.3,13.9,913.5,0.3,90.4,597.9,224.9
NORTH INTERIOR KARNATAKA,2010,9.6,2.5,0.5,15.5,39.5,110.1,193.5,207.5,119.2,82.1,71.9,1.2,853.2,12.1,55.6,630.4,155.2
NORTH INTERIOR KARNATAKA,2011,0.5,7.2,7.2,41.2,46.8,101.3,150.8,152,69,73.4,5.7,0,655.2,7.7,95.2,473.1,79.2
NORTH INTERIOR KARNATAKA,2012,28.5,6.2,0.4,35.4,19.5,60,114.5,105.5,79.2,85.2,46.5,2.9,583.8,34.7,55.3,359.3,134.5
NORTH INTERIOR KARNATAKA,2013,1.2,6.1,3,25.4,47.4,99.4,160.7,73.9,201,101,4.2,0.1,723.2,7.3,75.7,534.9,105.2
NORTH INTERIOR KARNATAKA,2014,0,6.1,29.2,26.4,93,50.4,136.8,205.2,90.2,80.3,25,14.1,756.8,6.1,148.7,482.5,119.5
NORTH INTERIOR KARNATAKA,2015,2.4,0,27.5,50.8,45.3,89.6,38.5,78.4,150.8,61.2,5.7,1.7,551.9,2.4,123.6,357.2,68.6
SOUTH INTERIOR KARNATAKA,1901,4.9,31.8,3,32.7,109.6,106,210,109.2,140.8,170.1,72.5,12.3,1003,36.8,145.4,566,254.9
SOUTH INTERIOR KARNATAKA,1902,1.9,0.5,6.7,42.6,97.7,91.7,210,82.1,138.4,219.1,44.6,84.9,1020.1,2.4,147,522.3,348.5
SOUTH INTERIOR KARNATAKA,1903,0.3,0,1.1,11.6,125.1,129.7,284.4,155.7,197.1,154.2,186.6,24.1,1269.9,0.3,137.7,766.9,364.9
